guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
q9FSnNXA%>,Indonesia,Indonesien, , ,Jakarta,Jakarta,,Även Djakarta,,,"<img src=""ug-flag-indonesia.svg"" />","Monaco (narrower, darker red), Poland (red and white flipped, darker red)",,"<img src=""ug-map-indonesia.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
obg]3w:]w`,India,Indien, , ,New Delhi,New Delhi,,,,,"<img src=""ug-flag-india.svg"" />",,,"<img src=""ug-map-india.png"" />",UG::Asia UG::Sovereign_State
j1J!`:2g=S,Hong Kong,Hongkong,Special Administrative Region of China., , , ,,,,,"<img src=""ug-flag-hong_kong.svg"" />",,,"<img src=""ug-map-hong_kong.png"" />",UG::Asia
kN7ucSA]77,Iran,Iran, , ,Tehran,Teheran,,,,,"<img src=""ug-flag-iran.svg"" />",,,"<img src=""ug-map-iran.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
gV:vI&!;j7,Israel,Israel, , ,Jerusalem,Jerusalem,,,,,"<img src=""ug-flag-israel.svg"" />",,,"<img src=""ug-map-israel.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
h-e/pKcWcK,Iraq,Irak, , ,Baghdad,Bagdad,,,,,"<img src=""ug-flag-iraq.svg"" />","Egypt (emblem instead of text), Syria (two stars instead of text), Yemen (no text)",,"<img src=""ug-map-iraq.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
fBIl?(O;GK,South Korea,Sydkorea, , ,Seoul,Seoul,,,,,"<img src=""ug-flag-south_korea.svg"" />",,,"<img src=""ug-map-south_korea.png"" />",UG::Asia UG::Sovereign_State
pf9?iCrnq3,North Korea,Nordkorea, , ,Pyongyang,Pyongyang,,,,,"<img src=""ug-flag-north_korea.svg"" />",,,"<img src=""ug-map-north_korea.png"" />",UG::Asia UG::Sovereign_State
gpAm`b+<@$,Jordan,Jordanien, , ,Amman,Amman,,,,,"<img src=""ug-flag-jordan.svg"" />",,,"<img src=""ug-map-jordan.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
jKz8&brS?Q,Japan,Japan, , ,Tokyo,Tokyo,,,,,"<img src=""ug-flag-japan.svg"" />",,,"<img src=""ug-map-japan.png"" />",UG::Asia UG::Sovereign_State
k5Lsw~?CS<,Lebanon,Libanon, , ,Beirut,Beirut,,,,,"<img src=""ug-flag-lebanon.svg"" />",,,"<img src=""ug-map-lebanon.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
g`wTk)sEO;,Laos,Laos, , ,Vientiane,Vientiane,,,,,"<img src=""ug-flag-laos.svg"" />",,,"<img src=""ug-map-laos.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
nWR|<-!<3D,Kyrgyzstan,Kirgizistan, , ,Bishkek,Bisjkek,,,,,"<img src=""ug-flag-kyrgyzstan.svg"" />",,,"<img src=""ug-map-kyrgyzstan.png"" />",UG::Asia UG::Sovereign_State
c6[_RRw1RP,Kuwait,Kuwait, , ,Kuwait City,Kuwait,,,,,"<img src=""ug-flag-kuwait.svg"" />",,,"<img src=""ug-map-kuwait.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
jqRl$9tc|=,Myanmar,Myanmar,Also known as Burma.,Även känt som Burma,Naypyidaw,Naypyidaw,,Även Nay Pyi Taw,,,"<img src=""ug-flag-myanmar.svg"" />",,,"<img src=""ug-map-myanmar.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
bcKCjo|@FB,Mongolia,Mongoliet, , ,Ulaanbaatar,Ulan Bator,,Även Ulaanbaatar,,,"<img src=""ug-flag-mongolia.svg"" />",,,"<img src=""ug-map-mongolia.png"" />",UG::Asia UG::Sovereign_State
f{.=@!vp[F,Maldives,Maldiverna, , ,Malé,Malé,,,,,"<img src=""ug-flag-maldives.svg"" />",,,"<img src=""ug-map-maldives.png"" />",UG::Asia UG::Sovereign_State
kW|_Dl/sH;,Malaysia,Malaysia, , ,Kuala Lumpur,Kuala Lumpur,,,,,"<img src=""ug-flag-malaysia.svg"" />",,,"<img src=""ug-map-malaysia.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
"c$,^My)7,o",Oman,Oman, , ,Muscat,Muskat,,"Även Masqat, Maskat, Muscat, Mascate",,,"<img src=""ug-flag-oman.svg"" />",,,"<img src=""ug-map-oman.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
"jc,5d-!25%",Nepal,Nepal, , ,Kathmandu,Katmandu,,Även Kathmandu,,,"<img src=""ug-flag-nepal-nobox.svg"" />",,,"<img src=""ug-map-nepal.png"" />",UG::Asia UG::Sovereign_State
eyzMdbI<py,Palestine,Palestina, , ,Ramallah,Ramallah,,,,,"<img src=""ug-flag-palestine.svg"" />","Sudan (green arrow, red stripe)",,"<img src=""ug-map-palestine.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
g-=f.1BY3@,Pakistan,Pakistan, , ,Islamabad,Islamabad,,,,,"<img src=""ug-flag-pakistan.svg"" />",,,"<img src=""ug-map-pakistan.png"" />",UG::Asia UG::Sovereign_State
"kIW,oO0t&9",Qatar,Qatar, ,Alternativt Katar,Doha,Doha,,,,,"<img src=""ug-flag-qatar.svg"" />","Bahrain (narrower, fewer serrated edges, red)",,"<img src=""ug-map-qatar.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
"jZB|XiS`N,",Saudi Arabia,Saudiarabien, , ,Riyadh,Riyadh,,,,,"<img src=""ug-flag-saudi_arabia.svg"" />",,,"<img src=""ug-map-saudi_arabia.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
a:xcf2;d`h,Singapore,Singapore, , ,Singapore,Singapore,,,,,"<img src=""ug-flag-singapore.svg"" />",,,"<img src=""ug-map-singapore.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
czq?(.f9rK,Syria,Syrien, , ,Damascus,Damaskus,,,,,"<img src=""ug-flag-syria.svg"" />","Egypt (emblem instead of stars), Iraq (text instead of stars), Yemen (no stars)",,"<img src=""ug-map-syria.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
kDeaNFo$(Q,Taiwan,Taiwan,Partially recognised state claimed by China., ,Taipei,Taipei,,,,,"<img src=""ug-flag-taiwan.svg"" />",,,"<img src=""ug-map-taiwan.png"" />",UG::Asia UG::Sovereign_State
ei3G6ous#%,Sri Lanka,Sri Lanka, , ,Sri Jayawardenepura Kotte,Sri Jayawardenapura,"Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.","Även Kotte, Sri Jayawardenapura Kotte",,,"<img src=""ug-flag-sri_lanka.svg"" />",,,"<img src=""ug-map-sri_lanka.png"" />",UG::Asia UG::Sovereign_State
eLiW%Al2Is,Tajikistan,Tadzjikistan, , ,Dushanbe,Dusjanbe,,,,,"<img src=""ug-flag-tajikistan.svg"" />",,,"<img src=""ug-map-tajikistan.png"" />",UG::Asia UG::Sovereign_State
f)aQmJp.B?,Thailand,Thailand, , ,Bangkok,Bangkok,,,,,"<img src=""ug-flag-thailand.svg"" />",,,"<img src=""ug-map-thailand.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
"d@=,E(oqDu",East Timor,Östtimor,Also known as Timor-Leste.,Även känt som Timor-Leste,Dili,Dili,,,,,"<img src=""ug-flag-east_timor.svg"" />",,,"<img src=""ug-map-east_timor.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
mLG*@5t=NG,United Arab Emirates,Förenade Arabemiraten, , ,Abu Dhabi,Abu Dhabi,,,,,"<img src=""ug-flag-united_arab_emirates.svg"" />",,,"<img src=""ug-map-united_arab_emirates.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
stDJ0UMUpB,Turkmenistan,Turkmenistan, , ,Ashgabat,Asjchabad,,Även Asjgabat,,,"<img src=""ug-flag-turkmenistan.svg"" />",,,"<img src=""ug-map-turkmenistan.png"" />",UG::Asia UG::Sovereign_State
